date,day_of_week,month,is_weekday,file_count_AM_actual,file_count_PM_actual,total_records_AM_actual,total_records_PM_actual,file_count_AM_predicted,file_count_PM_predicted,total_records_AM_predicted,total_records_PM_predicted
2020-01-01,2,1,1,3.0,1.0,6786624.0,484685.0,2.5021416946064163,1.2368017895119099,4689076.292416926,1241580.5187983762
2020-01-02,3,1,1,1.0,1.0,940403.0,99485.0,1.4210167756049956,1.7094911865987314,1590590.8978995464,2154027.789059472
2020-01-03,4,1,1,1.0,1.0,1094591.0,1594954.0,1.107263953719277,1.0573137573828135,1337233.9525600637,820973.2914290094
2020-01-04,5,1,0,1.0,1.0,240536.0,873126.0,1.2325465536652949,1.0,816278.1356357782,873126.0
2020-01-06,0,1,1,7.0,1.0,18423682.0,2109459.0,2.736070258278301,2.1548674514332045,6277698.451492109,3878797.1417927253
2020-01-07,1,1,1,1.0,4.0,2080927.0,8731065.0,3.6901527671756797,7.096056350663963,7526333.160212968,15540643.142094085
2020-01-08,2,1,1,3.0,1.0,7106970.0,249678.0,2.5021416946064163,1.2368017895119099,4689076.292416926,1241580.5187983762
2020-01-09,3,1,1,1.0,1.0,994098.0,345796.0,1.4210167756049956,1.7094911865987314,1590590.8978995464,2154027.789059472
2020-01-10,4,1,1,1.0,1.0,1259487.0,231665.0,1.107263953719277,1.0573137573828135,1337233.9525600637,820973.2914290094
2020-01-11,5,1,0,1.0,1.0,81644.0,873126.0,1.2325465536652949,1.0,816278.1356357782,873126.0
2020-01-13,0,1,1,1.0,1.0,1211793.0,2363873.0,2.736070258278301,2.1548674514332045,6277698.451492109,3878797.1417927253
2020-01-14,1,1,1,2.0,6.0,3884943.0,13427035.0,3.6901527671756797,7.096056350663963,7526333.160212968,15540643.142094085
2020-01-15,2,1,1,6.0,1.0,11112575.0,518847.0,2.5021416946064163,1.2368017895119099,4689076.292416926,1241580.5187983762
2020-01-16,3,1,1,1.0,1.0,48400.0,111238.0,1.4210167756049956,1.7094911865987314,1590590.8978995464,2154027.789059472
2020-01-17,4,1,1,1.0,1.0,618517.0,1953290.0,1.107263953719277,1.0573137573828135,1337233.9525600637,820973.2914290094
2020-01-18,5,1,0,1.0,1.0,69083.0,873126.0,1.2325465536652949,1.0,816278.1356357782,873126.0
2020-01-20,0,1,1,2.0,3.0,4466555.0,5456194.0,2.736070258278301,2.1548674514332045,6277698.451492109,3878797.1417927253
2020-01-21,1,1,1,8.0,7.0,16991186.0,15713374.0,3.6901527671756797,7.096056350663963,7526333.160212968,15540643.142094085
2020-01-22,2,1,1,3.0,1.0,5655088.0,58706.0,2.5021416946064163,1.2368017895119099,4689076.292416926,1241580.5187983762
2020-01-23,3,1,1,1.0,1.0,146645.0,138231.0,1.4210167756049956,1.7094911865987314,1590590.8978995464,2154027.789059472
2020-01-24,4,1,1,1.0,1.0,452837.0,35014.0,1.107263953719277,1.0573137573828135,1337233.9525600637,820973.2914290094
2020-01-25,5,1,0,1.0,1.0,27070.0,873126.0,1.2325465536652949,1.0,816278.1356357782,873126.0
2020-01-27,0,1,1,1.0,1.0,1115594.0,133037.0,2.736070258278301,2.1548674514332045,6277698.451492109,3878797.1417927253
2020-01-28,1,1,1,1.0,5.0,1250613.0,10352997.0,3.6901527671756797,7.096056350663963,7526333.160212968,15540643.142094085
2020-01-29,2,1,1,6.0,1.0,12910699.0,2553844.0,2.5021416946064163,1.2368017895119099,4689076.292416926,1241580.5187983762
2020-01-30,3,1,1,1.0,1.0,90346.0,109403.0,1.4210167756049956,1.7094911865987314,1590590.8978995464,2154027.789059472
2020-01-31,4,1,1,1.0,3.0,387162.0,6640178.0,1.107263953719277,1.0573137573828135,1337233.9525600637,820973.2914290094
2020-02-01,5,2,0,2.0,1.0,3461353.0,873126.0,1.0762944587401129,1.0,572054.9561929731,873126.0
2020-02-03,0,2,1,1.0,1.0,416819.0,1146915.0,3.390051919737412,1.8119516432084515,7224968.695645384,2969478.6491892096
